thu_muc,file,ten_banh,gia,mo_ta
bánh Kem,1790085326705_9170768128432834209_9170768128432834209_b8894b9546d6147b48eed5f28e883bb6.jpg,Bánh kem lịch tháng màu xanh mint,350000,
bánh Kem,1790085327874_9170768128432834209_9170768128432834209_5a99656d39508ea003041c13ffcb3461.jpg,Bánh kem lịch tháng nơ xanh dương,350000,
bánh Kem,1790085328660_9170768128432834209_9170768128432834209_f77e6421f3470b9693b441b08fc0b9fc.jpg,Bánh kem lịch tháng nơ hồng pastel,350000,
bánh Kem,1790085330598_9170768128432834209_9170768128432834209_fd784664c6c62e626794558b42e65efa.jpg,Bánh kem lịch tháng nơ đen,350000,
bánh Kem,1790085342253_9170768128432834209_9170768128432834209_9a7d50da68ee9a4d0e2f5e407648d99e.jpg,Bánh kem hoa cúc vàng xanh mint,350000,
bánh Kem,1790085342892_9170768128432834209_9170768128432834209_afe438e377fb6ccbe4093d3ac476a36d.jpg,Bánh kem hoa trắng chữ Mừng Sinh Nhật Mẹ,350000,
bánh Kem,1790085343915_9170768128432834209_9170768128432834209_18ff5bfbe0ab290c6c79af590f03370e.jpg,Bánh kem hoa kem xanh lá phủ túi lưới,350000,
bánh Kem,1790085345823_9170768128432834209_9170768128432834209_8b2059ec86f824e59513199c9abdab5a.jpg,Bánh kem hoa tím chữ Happy Birthday,350000,
bánh Kem,1790085346842_9170768128432834209_9170768128432834209_bf35fdbcbe2dd35aac5d4c7f68d6d511.jpg,Bánh kem hoa hồng phấn chữ Mừng Sinh Nhật,350000,
bánh Kem,1790085348533_9170768128432834209_9170768128432834209_10a61da2f4bc40e040e82e9819d126a9.jpg,Bánh kem hoa trắng tím chữ Mừng Sinh Nhật Mẹ,350000,
bánh Kem,1790085349281_9170768128432834209_9170768128432834209_568836c835e86bd6d2a875400ddd13d4.jpg,Bánh kem nơ hồng chữ Happy Birthday,350000,
bánh Kem,1790085351461_9170768128432834209_9170768128432834209_21a75ee87ad7b6844edc150b995ed0f8.jpg,Bánh kem hoa tulip trắng xanh lá,350000,
bánh Kem,1790085351980_9170768128432834209_9170768128432834209_b106a89a35a041f9d10504bb38a2cdfe.jpg,Bánh kem hoa hồng xanh dương kỷ niệm,350000,
bánh Kem,1790085353008_9170768128432834209_9170768128432834209_c8f0731b4b6976ef8d6e6138b3229035.jpg,Bánh kem vẽ hình cô dâu chú rể chúc mừng,350000,
bánh Kem,1790085354518_9170768128432834209_9170768128432834209_4c4ac861a65b0c84f3b5d966b0c32f7a.jpg,Bánh kem hoa hồng đỏ chữ Happy Birthday nền trắng,350000,
bánh Kem,1790085354835_9170768128432834209_9170768128432834209_c756b76330699939dd8bb9443db78dcd.jpg,Bánh kem figure ông bà chữ Happy Birthday,350000,
bánh Kem,1790085355758_9170768128432834209_9170768128432834209_988f95f56c75f6f9ff20cbaf3b303c2a.jpg,Bánh kem hoa trắng thanh lịch,350000,
bánh Kem,1790085356695_9170768128432834209_9170768128432834209_2d2eec0e1b82c9c82f52fe67b7b69407.jpg,Bánh kem vẽ hình ông bà Happy Birthday Chị,350000,
bánh Kem,1790085360365_9170768128432834209_9170768128432834209_f40c5bdd1683007474b9e489040dd9b7.jpg,Bánh kem hoa dại nhỏ nhiều màu,350000,
