ten_banh,nhom,gia_de_xuat,dac_diem_cong_them
Bánh kem lịch tháng màu xanh mint,bánh Kem,399000,"lịch +40,000"
Bánh kem lịch tháng nơ xanh dương,bánh Kem,420000,"lịch +40,000; nơ +30,000"
Bánh kem lịch tháng nơ hồng pastel,bánh Kem,420000,"lịch +40,000; nơ +30,000"
Bánh kem lịch tháng nơ đen,bánh Kem,420000,"lịch +40,000; nơ +30,000"
Bánh kem hoa cúc vàng xanh mint,bánh Kem,400000,"hoa cúc +60,000"
Bánh kem hoa trắng chữ Mừng Sinh Nhật Mẹ,bánh Kem,430000,"hoa +60,000; chữ +20,000"
Bánh kem hoa kem xanh lá phủ túi lưới,bánh Kem,400000,"hoa kem +60,000"
Bánh kem hoa tím chữ Happy Birthday,bánh Kem,430000,"hoa +60,000; chữ +20,000"
Bánh kem hoa hồng phấn chữ Mừng Sinh Nhật,bánh Kem,450000,"hoa hồng +80,000; chữ +20,000"
Bánh kem hoa trắng tím chữ Mừng Sinh Nhật Mẹ,bánh Kem,430000,"hoa +60,000; chữ +20,000"
Bánh kem nơ hồng chữ Happy Birthday,bánh Kem,400000,"chữ +20,000; nơ +30,000"
Bánh kem hoa tulip trắng xanh lá,bánh Kem,450000,"hoa tulip +100,000"
Bánh kem hoa hồng xanh dương kỷ niệm,bánh Kem,490000,"kỷ niệm +50,000; hoa hồng +80,000"
Bánh kem vẽ hình cô dâu chú rể chúc mừng,bánh Kem,450000,"vẽ hình +60,000; dâu +50,000"
Bánh kem hoa hồng đỏ chữ Happy Birthday nền trắng,bánh Kem,450000,"hoa hồng +80,000; chữ +20,000"
Bánh kem figure ông bà chữ Happy Birthday,bánh Kem,520000,"figure +150,000; chữ +20,000"
Bánh kem hoa trắng thanh lịch,bánh Kem,450000,"hoa +60,000; lịch +40,000"
Bánh kem vẽ hình ông bà Happy Birthday Chị,bánh Kem,400000,"vẽ hình +60,000"
Bánh kem hoa dại nhỏ nhiều màu,bánh Kem,400000,"hoa dại +50,000"
Bánh kem figure ông bà bóng bay Mừng Sinh Nhật,bánh Kem,500000,"figure +150,000"
Bánh kem vẽ hình bé gái áo đỏ Các con cháu chúc,bánh Kem,400000,"vẽ hình +60,000"
Bánh kem hoa mai vàng trắng,bánh Kem,400000,"hoa +60,000"
Bánh kem hoa hồng đỏ tầng diềm trắng Happy Birthday,bánh Kem,430000,"hoa hồng +80,000"
Bánh kem hoa hồng đỏ lớn Happy Birthday Anh,bánh Kem,430000,"hoa hồng +80,000"
Bánh kem hoa hồng trắng kem chữ Chúc Mừng,bánh Kem,450000,"hoa hồng +80,000; chữ +20,000"
Bánh kem trang trí xe hơi và tiền,bánh Kem,490000,"xe hơi +80,000; tiền +50,000"
Bánh kem hoa xanh dương chữ Sinh Nhật,bánh Kem,430000,"hoa +60,000; chữ +20,000"
Bánh kem trái cây dâu việt quất,bánh Kem,430000,"trái cây +80,000"
Bánh kem chữ Will you marry me cầu hôn,bánh Kem,450000,"cầu hôn +80,000; chữ +20,000"
Bánh kem bó hoa trắng phủ giấy voan,bánh Kem,450000,"hoa +60,000; voan +30,000"
Bánh kem bé gái nơ hồng kèm bánh tart mini,bánh Kem,390000,"nơ +30,000"
Bánh kem hoa xanh dương pastel,bánh Kem,400000,"hoa +60,000"
Bánh kem hoa quả dâu kèm bánh tart mini,bánh Kem,490000,"hoa +60,000; dâu +50,000; tart +20,000"
Bánh kem trái cây dâu kiwi việt quất,bánh Kem,430000,"trái cây +80,000"
Bánh kem hoa hồng phấn phủ giấy voan,bánh Kem,450000,"hoa hồng +80,000; voan +30,000"
Bánh kem tart mini nhiều vị,bánh Kem,370000,"tart +20,000"
Bánh kem hoa hồng đen vẽ line đen,bánh Kem,430000,"hoa hồng +80,000"
Bánh kem hoa hồng đen chữ Happy Birthday Em,bánh Kem,450000,"hoa hồng +80,000; chữ +20,000"
Bánh kem tart mini trái cây và socola,bánh Kem,499000,"trái cây +80,000; socola +40,000; tart +20,000"
Bánh kem mặt hồng pastel hoa nhỏ,bánh Kem,400000,"hoa +60,000"
Bánh kem hoa cúc trắng xanh chữ Happy Birthday,bánh Kem,430000,"hoa cúc +60,000; chữ +20,000"
Bánh kem trái cây xanh vàng,bánh Kem,430000,"trái cây +80,000"
Bánh kem hoa hồng phấn tầng diềm trắng,bánh Kem,430000,"hoa hồng +80,000"
Bánh kem hoa hồng phấn bọc voan trắng,bánh Kem,450000,"hoa hồng +80,000; voan +30,000"
Bánh kem kem hồng viền socola đen,bánh Kem,399000,"socola +40,000"
Bánh kem hoa hồng phấn chữ Happy Teacher's Day,bánh Kem,450000,"hoa hồng +80,000; chữ +20,000"
Bánh kem hoa hồng phấn chữ Happy Birthday nền xanh,bánh Kem,450000,"hoa hồng +80,000; chữ +20,000"
Bánh kem bóng đá bé trai HAPPY BIRTHDAY,bánh Kem,450000,"bóng đá +100,000"
Bánh kem hình con thú màu xám,bánh Kem,470000,"hình con +120,000"
Bánh kem hoa hồng phấn chữ Happy Birthday nền trắng,bánh Kem,450000,"hoa hồng +80,000; chữ +20,000"
Bánh kem chấm bi trắng đen hoa nhỏ,bánh Kem,400000,"hoa +60,000"
Bánh kem hoa vàng phủ giấy voan,bánh Kem,450000,"hoa +60,000; voan +30,000"
